parent;pagetitle;content1;content2;price;picture;picture-big;brand;
43;Сковорода MONETA 1120126 Ceramica Deluxe 26 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;1999;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120126-Ceramica-Deluxe-26-sm_STI0OTk2NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120126-Ceramica-Deluxe-26-sm_STI0OTk2NVRp.jpg;MONETA;
43;Сковорода MONETA 5000126 Total White 26 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2289;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000126-Total-White-26-sm_STI0OTk4MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000126-Total-White-26-sm_STI0OTk4MVRp.jpg;MONETA;
43;Сковорода MONETA 1120128 Ceramica Deluxe 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2299;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120128-Ceramica-Deluxe-28-sm_STI0OTk2MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-1120128-Ceramica-Deluxe-28-sm_STI0OTk2MlRp.jpg;MONETA;
43;Сковорода MONETA 750124 Magnetica Ceramica 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2390;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-750124-Magnetica-Ceramica-24-sm_STI0NjY0OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-750124-Magnetica-Ceramica-24-sm_STI0NjY0OVRp.jpg;MONETA;
43;Сковорода MONETA 750124 Magnetica Ceramica 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2390;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-750124-Magnetica-Ceramica-24-sm_STI0NjY0OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-750124-Magnetica-Ceramica-24-sm_STI0NjY0OVRp.jpg;MONETA;
43;Сковорода MONETA 5000128 Total White 28 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2489;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000128-Total-White-28-sm_STI0OTk4MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-5000128-Total-White-28-sm_STI0OTk4MFRp.jpg;MONETA;
43;Сковорода MONETA 6000124 Maxima Premium 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2589;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-6000124-Maxima-Premium-24-sm_STI0OTk3M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-MONETA-6000124-Maxima-Premium-24-sm_STI0OTk3M1Rp.jpg;MONETA;
43;Сковорода BALLARINI 930L-A.24 Induction Keravis 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2689;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-930L-A-24-Induction-Keravis-24-sm_STI0OTg0N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-930L-A-24-Induction-Keravis-24-sm_STI0OTg0N1Rp.jpg;BALLARINI;
43;Сковорода BALLARINI 9C0LC0.24 Cookin 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2690;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9C0LC0-24-Cookin-24-sm_STI0OTg3N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-BALLARINI-9C0LC0-24-Cookin-24-sm_STI0OTg3N1Rp.jpg;BALLARINI;
43;Сковорода глубокая BALLARINI 931C-A.24 Induction Keravis 24 см;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;2939;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-931C-A-24-Induction-Keravis-24-sm_STI0OTg0MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Skovoroda-glubokaya-BALLARINI-931C-A-24-Induction-Keravis-24-sm_STI0OTg0MFRp.jpg;BALLARINI;
